Experience,Fees,Place1,Profile_Dentist,Profile_Dermatologists,Profile_ENT Specialist,Profile_General Medicine,Profile_Homeopath
24,100,4,0,0,0,0,1
12,350,0,0,0,0,0,0
9,300,0,0,0,1,0,0
12,250,0,0,0,0,0,0
20,250,1,0,0,0,0,0
8,100,1,0,0,0,0,0
42,200,3,0,0,0,0,1
10,200,0,1,0,0,0,0
14,100,5,0,0,0,1,0
23,100,4,1,0,0,0,0
5,700,1,0,0,1,0,0
7,100,5,0,0,0,0,0
9,200,2,1,0,0,0,0
21,350,5,1,0,0,0,0
12,500,3,0,0,1,0,0
10,200,5,0,0,0,1,0
24,100,1,0,0,1,0,0
5,300,1,0,0,0,0,1
19,400,5,0,0,1,0,0
19,150,0,0,0,0,1,0
21,100,2,1,0,0,0,0
14,500,3,0,0,1,0,0
41,200,6,0,0,0,1,0
31,100,4,0,0,0,1,0
23,100,6,0,1,0,0,0
5,100,7,1,0,0,0,0
25,500,0,0,0,0,1,0
12,250,5,0,0,0,1,0
16,100,2,1,0,0,0,0
15,500,3,0,1,0,0,0
7,500,5,0,1,0,0,0
11,500,6,1,0,0,0,0
14,100,3,0,0,1,0,0
23,500,1,0,0,0,1,0
9,300,3,0,0,0,0,0
15,400,3,1,0,0,0,0
10,250,3,1,0,0,0,0
12,300,6,0,0,0,0,1
31,100,3,0,0,1,0,0
16,100,6,0,0,0,1,0
8,250,5,1,0,0,0,0
12,500,6,0,0,0,0,1
31,500,0,0,0,0,0,0
8,300,5,0,0,0,0,0
22,500,6,0,0,0,0,1
7,500,5,0,1,0,0,0
16,200,5,1,0,0,0,0
31,200,5,0,0,0,1,0
8,400,5,0,1,0,0,0
10,200,2,1,0,0,0,0
42,100,5,0,0,0,1,0
9,150,1,0,0,0,0,0
22,650,5,0,1,0,0,0
10,100,6,1,0,0,0,0
9,300,5,0,0,0,0,0
25,600,0,0,0,1,0,0
14,200,0,1,0,0,0,0
11,400,0,0,1,0,0,0
24,500,1,0,0,0,1,0
38,500,0,0,0,0,1,0
8,500,1,0,0,0,1,0
12,200,5,1,0,0,0,0
14,200,3,1,0,0,0,0
5,150,3,0,0,0,0,1
22,200,3,0,0,0,0,1
14,200,0,0,0,0,0,1
6,500,6,1,0,0,0,0
36,500,5,0,1,0,0,0
6,150,1,0,0,0,0,1
13,500,3,0,0,1,0,0
13,300,3,1,0,0,0,0
11,300,3,0,0,1,0,0
18,100,6,0,0,0,0,1
46,100,6,0,0,0,1,0
41,350,5,0,1,0,0,0
40,500,5,0,0,0,1,0
7,100,1,1,0,0,0,0
13,300,2,1,0,0,0,0
12,600,3,0,1,0,0,0
10,200,5,1,0,0,0,0
49,100,1,0,0,0,1,0
9,250,5,1,0,0,0,0
20,50,3,0,0,0,0,0
11,100,6,0,1,0,0,0
10,200,0,1,0,0,0,0
16,150,7,0,0,0,1,0
24,500,3,1,0,0,0,0
33,700,3,0,1,0,0,0
10,250,1,0,1,0,0,0
36,50,5,0,0,0,1,0
8,50,6,0,0,0,0,0
0,100,8,0,1,0,0,0
15,250,1,0,0,0,0,0
7,200,6,1,0,0,0,0
12,500,6,1,0,0,0,0
12,500,0,0,0,0,0,1
13,700,3,0,1,0,0,0
24,200,1,0,1,0,0,0
27,100,6,0,0,0,0,0
12,200,5,1,0,0,0,0
9,500,0,0,0,0,0,1
16,200,0,1,0,0,0,0
22,200,7,1,0,0,0,0
20,100,1,1,0,0,0,0
30,300,4,1,0,0,0,0
52,100,1,0,0,0,1,0
13,350,0,0,0,1,0,0
19,300,1,1,0,0,0,0
16,300,0,0,0,0,0,0
10,250,3,1,0,0,0,0
60,100,3,0,0,0,1,0
12,100,6,0,0,0,0,0
11,500,0,0,1,0,0,0
15,200,1,1,0,0,0,0
6,250,0,1,0,0,0,0
5,500,5,0,0,0,1,0
9,200,4,1,0,0,0,0
21,100,6,0,1,0,0,0
7,250,4,1,0,0,0,0
20,500,6,0,0,0,0,0
10,150,3,0,0,0,0,0
12,100,1,0,0,0,0,1
12,500,0,0,0,0,0,1
26,200,0,0,0,0,0,1
31,200,1,0,0,1,0,0
15,600,6,0,1,0,0,0
11,300,3,0,0,0,1,0
11,300,3,1,0,0,0,0
5,800,3,0,0,0,1,0
24,300,1,0,0,1,0,0
13,100,3,0,1,0,0,0
12,800,3,0,1,0,0,0
5,200,1,1,0,0,0,0
8,350,3,0,0,0,0,1
8,100,6,0,1,0,0,0
35,200,6,0,0,0,1,0
24,300,0,0,1,0,0,0
14,500,0,0,1,0,0,0
19,400,5,0,0,0,1,0
34,100,6,0,0,0,1,0
21,500,1,0,0,1,0,0
13,750,5,0,0,0,1,0
39,800,3,0,0,1,0,0
35,200,0,0,0,1,0,0
36,250,4,0,0,0,0,1
19,300,0,0,0,1,0,0
10,800,1,0,1,0,0,0
7,300,5,0,0,1,0,0
32,150,2,0,0,0,1,0
18,400,0,1,0,0,0,0
17,100,1,0,0,0,0,1
9,300,4,1,0,0,0,0
5,200,0,0,0,0,0,0
20,100,6,0,0,0,0,1
9,300,3,0,0,0,0,0
35,500,1,0,0,0,0,1
17,500,0,0,0,1,0,0
6,200,5,1,0,0,0,0
10,300,6,1,0,0,0,0
5,100,2,0,0,1,0,0
36,600,1,0,0,0,1,0
19,100,0,1,0,0,0,0
11,300,3,0,0,0,0,0
12,150,5,1,0,0,0,0
17,400,1,0,1,0,0,0
18,500,0,0,1,0,0,0
7,300,3,1,0,0,0,0
14,200,6,1,0,0,0,0
0,100,6,0,0,0,0,0
12,400,3,0,0,0,1,0
28,200,0,0,0,0,1,0
9,200,3,0,0,0,0,1
18,300,6,0,0,0,0,0
28,100,6,0,0,1,0,0
16,200,2,1,0,0,0,0
7,500,6,0,0,0,0,1
11,100,4,1,0,0,0,0
27,300,0,0,0,0,1,0
18,400,0,0,1,0,0,0
32,300,6,0,0,0,0,0
32,500,3,0,0,0,1,0
12,150,5,0,0,0,0,0
15,600,5,0,0,0,0,1
58,100,3,0,0,0,1,0
17,100,6,0,0,0,1,0
13,100,2,1,0,0,0,0
5,100,6,1,0,0,0,0
20,300,0,0,1,0,0,0
31,800,3,0,0,1,0,0
10,500,3,0,1,0,0,0
42,250,3,0,0,0,1,0
13,200,5,1,0,0,0,0
27,500,0,0,0,0,0,1
4,500,5,0,1,0,0,0
16,300,3,0,0,0,0,0
18,600,3,0,0,1,0,0
15,450,1,0,1,0,0,0
5,300,1,1,0,0,0,0
11,400,0,0,0,0,0,1
26,100,0,0,0,0,0,0
14,250,0,0,0,0,0,0
6,250,0,0,0,0,0,0
27,700,1,0,0,1,0,0
8,150,7,0,0,0,0,0
9,300,4,0,0,1,0,0
15,500,6,1,0,0,0,0
7,80,1,1,0,0,0,0
14,300,5,0,1,0,0,0
45,50,6,0,0,0,1,0
21,100,5,0,0,0,1,0
14,100,4,1,0,0,0,0
6,200,2,1,0,0,0,0
8,500,0,0,1,0,0,0
27,100,3,0,0,1,0,0
